      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    827.18533977      -0.01778674
    827.32331094      -0.00753427
    827.46130512       0.00497128
    827.59932232       0.01468392
    827.73736254       0.01051897
    827.87542578       0.00625052
    828.01351206       0.00748947
    828.15162136       0.00571641
    828.28975371       0.00009875
    828.42790909      -0.01035718
    828.56608751      -0.00445896
    828.70428899      -0.00408569
    828.84251351       0.00963447
    828.98076109       0.00794612
    829.11903173       0.01119144
    829.25732543       0.01281319
    829.39564220      -0.00726287
    829.53398204      -0.00525516
    829.67234495      -0.00628422
    829.81073095       0.00190255
    829.94914002      -0.00513274
    830.08757218       0.00802181
    830.22602743       0.00982540
    830.36450578       0.00941352
    830.50300722       0.00958157
    830.64153176       0.00499273
    830.78007941       0.00359216
    830.91865017       0.00134800
    831.05724404       0.00896065
    831.19586103       0.00666912
    831.33450114      -0.00137905
    831.47316437      -0.01076064
    831.61185073      -0.00202378
    831.75056022      -0.00592384
    831.88929285      -0.00536193
    832.02804862      -0.00370465
    832.16682754      -0.00360584
    832.30562960       0.00797264
    832.44445481      -0.00609243
    832.58330318       0.00290772
    832.72217471       0.00453520
    832.86106940      -0.00188306
    832.99998726       0.00347275
    833.13892829       0.00694565
    833.27789250       0.00920934
    833.41687988       0.01899219
    833.55589045       0.00919458
    833.69492420       0.00192808
    833.83398114       0.00288554
    833.97306128       0.00981824
    834.11216461       0.00548506
    834.25129115       0.01277994
    834.39044089       0.00741316
    834.52961384       0.01279876
    834.66881001       0.01040062
    834.80802939       0.01618237
    834.94727199       0.00533785
    835.08653782      -0.00677377
    835.22582688       0.00717285
    835.36513917       0.00018937
    835.50447470       0.00202942
    835.64383346      -0.00441499
    835.78321548      -0.00038742
    835.92262074       0.00168728
    836.06204925       0.00253411
    836.20150102      -0.00459829
    836.34097605       0.01390666
    836.48047434       0.01131393
    836.61999590       0.00196953
    836.75954074       0.00610072
    836.89910884       0.00743182
    837.03870023       0.00252791
    837.17831490       0.00433511
    837.31795286      -0.00929345
    837.45761411       0.00309822
    837.59729865      -0.00649402
    837.73700649       0.00080464
    837.87673764      -0.01164381
    838.01649209       0.00306611
    838.15626985      -0.00032308
    838.29607093       0.00872403
    838.43589533       0.00472743
    838.57574304      -0.00086819
    838.71561409       0.00465437
    838.85550846       0.00005592
    838.99542617       0.00670313
    839.13536721       0.00322286
    839.27533160       0.00346906
    839.41531933       0.00865211
    839.55533041       0.01362185
    839.69536484       0.01821344
    839.83542264       0.00828783
    839.97550379       0.00704142
    840.11560831       0.00757465
